    mean_fit_time  std_fit_time  mean_score_time  std_score_time param_batch_size param_epochs param_optimizer                                                    params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
8     6830.801528     44.046639        15.137118        4.271778                8           40         rmsprop   {'batch_size': 8, 'epochs': 40, 'optimizer': 'rmsprop'}             0.9940             0.9930             0.9885             0.9930             0.9910           0.9919        0.001960                1            1.000000            0.999750            0.999125            1.000000            0.999875          0.999750         0.000326
3     1641.262085      7.730548        13.047827        0.696330                8           10             SGD       {'batch_size': 8, 'epochs': 10, 'optimizer': 'SGD'}             0.9950             0.9895             0.9910             0.9925             0.9900           0.9916        0.001985                2            1.000000            0.999750            1.000000            1.000000            0.999750          0.999900         0.000122
23    6332.463542     19.648681        12.918391        0.363231               16           40             SGD      {'batch_size': 16, 'epochs': 40, 'optimizer': 'SGD'}             0.9930             0.9910             0.9905             0.9915             0.9905           0.9913        0.000927                3            1.000000            1.000000            1.000000            1.000000            1.000000          1.000000         0.000000
7     3260.375005     27.199658        13.822671        0.364619                8           20             SGD       {'batch_size': 8, 'epochs': 20, 'optimizer': 'SGD'}             0.9935             0.9900             0.9900             0.9920             0.9905           0.9912        0.001364                4            1.000000            1.000000            1.000000            1.000000            1.000000          1.000000         0.000000
11    6392.991170     33.567905        15.816483        3.454076                8           40             SGD       {'batch_size': 8, 'epochs': 40, 'optimizer': 'SGD'}             0.9925             0.9895             0.9910             0.9935             0.9885           0.9910        0.001844                5            1.000000            1.000000            1.000000            1.000000            1.000000          1.000000         0.000000
32    6144.633047     21.301758        12.225749        0.859058               32           40         rmsprop  {'batch_size': 32, 'epochs': 40, 'optimizer': 'rmsprop'}             0.9905             0.9905             0.9920             0.9915             0.9895           0.9908        0.000872                6            0.999500            1.000000            1.000000            0.999875            1.000000          0.999875         0.000194
21    6410.816514     32.718340        13.006354        0.620326               16           40            adam     {'batch_size': 16, 'epochs': 40, 'optimizer': 'adam'}             0.9880             0.9925             0.9895             0.9910             0.9900           0.9902        0.001503                7            0.999000            1.000000            0.998125            0.999875            0.999875          0.999375         0.000720
15    1546.454295      5.098743        12.699056        0.282169               16           10             SGD      {'batch_size': 16, 'epochs': 10, 'optimizer': 'SGD'}             0.9915             0.9905             0.9875             0.9930             0.9880           0.9901        0.002083                8            1.000000            1.000000            0.999875            1.000000            1.000000          0.999975         0.000050
19    3134.060919     10.113502        12.930768        1.513249               16           20             SGD      {'batch_size': 16, 'epochs': 20, 'optimizer': 'SGD'}             0.9915             0.9890             0.9865             0.9915             0.9910           0.9899        0.001934                9            1.000000            1.000000            1.000000            1.000000            1.000000          1.000000         0.000000
20    6447.207281     42.789695        13.194568        0.446025               16           40         rmsprop  {'batch_size': 16, 'epochs': 40, 'optimizer': 'rmsprop'}             0.9895             0.9880             0.9920             0.9910             0.9880           0.9897        0.001600               10            1.000000            0.999875            0.999375            1.000000            0.999875          0.999825         0.000232
35    6037.736339     17.575661        12.382761        0.452549               32           40             SGD      {'batch_size': 32, 'epochs': 40, 'optimizer': 'SGD'}             0.9895             0.9905             0.9890             0.9895             0.9890           0.9895        0.000548               11            1.000000            1.000000            1.000000            1.000000            1.000000          1.000000         0.000000
