    mean_fit_time  std_fit_time  mean_score_time  std_score_time param_batch_size param_epochs param_optimizer                                                    params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
8     4853.915598     37.303422        14.236610        2.863856                8           40         rmsprop   {'batch_size': 8, 'epochs': 40, 'optimizer': 'rmsprop'}             0.9780             0.9835             0.9815             0.9860             0.9810           0.9820        0.002665                1            0.999375            0.999625            0.998750            0.999500            0.999375          0.999325         0.000302
9     4783.311659     54.417917        13.695901        2.228530                8           40            adam      {'batch_size': 8, 'epochs': 40, 'optimizer': 'adam'}             0.9770             0.9825             0.9790             0.9875             0.9830           0.9818        0.003614                2            0.997375            0.998625            0.995625            0.999125            0.999375          0.998025         0.001384
21    2815.310596     24.382813        12.026637        1.180095               16           40            adam     {'batch_size': 16, 'epochs': 40, 'optimizer': 'adam'}             0.9825             0.9845             0.9840             0.9735             0.9695           0.9788        0.006129                3            1.000000            0.999500            0.999250            0.991375            0.990500          0.996125         0.004251
20    2821.917656      7.872546        12.084742        0.634963               16           40         rmsprop  {'batch_size': 16, 'epochs': 40, 'optimizer': 'rmsprop'}             0.9775             0.9745             0.9795             0.9810             0.9765           0.9778        0.002272                4            0.999000            0.997250            0.998750            0.999625            0.999875          0.998900         0.000920
32    2501.058976     10.364759        19.111471        1.818512               32           40         rmsprop  {'batch_size': 32, 'epochs': 40, 'optimizer': 'rmsprop'}             0.9785             0.9735             0.9790             0.9790             0.9785           0.9777        0.002112                5            0.999000            0.998500            0.998125            0.999125            0.998375          0.998625         0.000379
33    2503.186132     15.884896        17.808915        1.100995               32           40            adam     {'batch_size': 32, 'epochs': 40, 'optimizer': 'adam'}             0.9695             0.9780             0.9800             0.9810             0.9785           0.9774        0.004091                6            0.991750            0.996625            0.999500            0.999500            0.997875          0.997050         0.002862
44    1687.380575     10.734655        18.538825        1.948535               64           40         rmsprop  {'batch_size': 64, 'epochs': 40, 'optimizer': 'rmsprop'}             0.9760             0.9780             0.9765             0.9820             0.9725           0.9770        0.003082                7            0.998625            0.999500            0.999125            0.994750            0.998750          0.998150         0.001727
45    1611.457150     69.131335        17.913979        3.763698               64           40            adam     {'batch_size': 64, 'epochs': 40, 'optimizer': 'adam'}             0.9755             0.9715             0.9825             0.9750             0.9795           0.9768        0.003816                8            0.997875            0.997625            0.997750            0.992000            1.000000          0.997050         0.002672
4     2421.527309     19.852917        12.224895        1.133691                8           20         rmsprop   {'batch_size': 8, 'epochs': 20, 'optimizer': 'rmsprop'}             0.9755             0.9765             0.9775             0.9810             0.9735           0.9768        0.002482                8            0.995750            0.997625            0.998625            0.999250            0.998125          0.997875         0.001191
16    1417.905359     10.615803        13.249883        2.115387               16           20         rmsprop  {'batch_size': 16, 'epochs': 20, 'optimizer': 'rmsprop'}             0.9750             0.9765             0.9710             0.9810             0.9770           0.9761        0.003231               10            0.998125            0.997375            0.997000            0.994125            0.998125          0.996950         0.001478
5     2397.935497     22.017149        13.798088        1.333160                8           20            adam      {'batch_size': 8, 'epochs': 20, 'optimizer': 'adam'}             0.9775             0.9690             0.9755             0.9820             0.9735           0.9755        0.004301               11            0.998125            0.986000            0.995625            0.994000            0.993125          0.993375         0.004061
28    1250.344649      5.383752        17.920825        0.866426               32           20         rmsprop  {'batch_size': 32, 'epochs': 20, 'optimizer': 'rmsprop'}             0.9790             0.9750             0.9810             0.9675             0.9750           0.9755        0.004626               11            0.998375            0.996500            0.998375            0.994500            0.995625          0.996675         0.001526
17    1393.348634     10.978067        11.549458        0.902553               16           20            adam     {'batch_size': 16, 'epochs': 20, 'optimizer': 'adam'}             0.9760             0.9805             0.9805             0.9655             0.9730           0.9751        0.005580               13            0.998625            0.997250            0.998500            0.982250            0.994500          0.994225         0.006169
0     1208.482029      6.962694        12.424750        2.491818                8           10         rmsprop   {'batch_size': 8, 'epochs': 10, 'optimizer': 'rmsprop'}             0.9710             0.9755             0.9705             0.9720             0.9755           0.9729        0.002177               14            0.993500            0.991250            0.992375            0.983250            0.994625          0.991000         0.004035
40     832.957137      4.907750        18.600661        1.954597               64           20         rmsprop  {'batch_size': 64, 'epochs': 20, 'optimizer': 'rmsprop'}             0.9680             0.9760             0.9755             0.9780             0.9660           0.9727        0.004771               15            0.995125            0.997250            0.995625            0.998125            0.988125          0.994850         0.003532
12     714.825514      6.849485        12.211525        0.655311               16           10         rmsprop  {'batch_size': 16, 'epochs': 10, 'optimizer': 'rmsprop'}             0.9785             0.9705             0.9710             0.9720             0.9695           0.9723        0.003203               16            0.993125            0.986375            0.988500            0.986250            0.988125          0.988475         0.002494
29    1246.437230      2.008240        17.349647        1.181571               32           20            adam     {'batch_size': 32, 'epochs': 20, 'optimizer': 'adam'}             0.9745             0.9655             0.9735             0.9665             0.9700           0.9700        0.003606               17            0.996125            0.984125            0.994875            0.987375            0.993375          0.991175         0.004630
41     817.799600      7.843637        19.480234        2.653751               64           20            adam     {'batch_size': 64, 'epochs': 20, 'optimizer': 'adam'}             0.9725             0.9650             0.9705             0.9715             0.9700           0.9699        0.002596               18            0.994750            0.990250            0.995625            0.991875            0.993750          0.993250         0.001951
11    4689.085549     15.444946        14.412615        2.892743                8           40             SGD       {'batch_size': 8, 'epochs': 40, 'optimizer': 'SGD'}             0.9700             0.9740             0.9690             0.9675             0.9675           0.9696        0.002396               19            0.997000            0.998625            0.995500            0.988875            0.996875          0.995375         0.003398
13     702.849404      9.742541        12.232442        0.414645               16           10            adam     {'batch_size': 16, 'epochs': 10, 'optimizer': 'adam'}             0.9500             0.9780             0.9725             0.9725             0.9710           0.9688        0.009698               20            0.973750            0.995250            0.993750            0.985375            0.988750          0.987375         0.007671
1     1196.862256      7.687036        12.214242        1.996398                8           10            adam      {'batch_size': 8, 'epochs': 10, 'optimizer': 'adam'}             0.9665             0.9680             0.9585             0.9750             0.9710           0.9678        0.005483               21            0.989000            0.980375            0.978750            0.990250            0.988250          0.985325         0.004776
25     585.761729     12.940353        15.900791        0.633440               32           10            adam     {'batch_size': 32, 'epochs': 10, 'optimizer': 'adam'}             0.9640             0.9735             0.9700             0.9585             0.9680           0.9668        0.005163               22            0.990125            0.990875            0.985875            0.977750            0.991875          0.987300         0.005195
23    2813.197995     30.074058        17.037343        1.529335               16           40             SGD      {'batch_size': 16, 'epochs': 40, 'optimizer': 'SGD'}             0.9610             0.9620             0.9620             0.9715             0.9710           0.9655        0.004712               23            0.988625            0.993750            0.992375            0.994875            0.993000          0.992525         0.002120
36     432.627533      1.864647        15.664013        1.201299               64           10         rmsprop  {'batch_size': 64, 'epochs': 10, 'optimizer': 'rmsprop'}             0.9560             0.9640             0.9705             0.9655             0.9705           0.9653        0.005335               24            0.981125            0.983500            0.987625            0.984375            0.985000          0.984325         0.002110
37     395.377289      4.433036        16.523580        1.010302               64           10            adam     {'batch_size': 64, 'epochs': 10, 'optimizer': 'adam'}             0.9605             0.9650             0.9700             0.9655             0.9640           0.9650        0.003050               25            0.984750            0.989750            0.987750            0.986750            0.987125          0.987225         0.001613
24     550.398554      6.026654        14.413219        1.195227               32           10         rmsprop  {'batch_size': 32, 'epochs': 10, 'optimizer': 'rmsprop'}             0.9630             0.9615             0.9660             0.9585             0.9700           0.9638        0.003932               26            0.987750            0.982625            0.988750            0.979500            0.989250          0.985575         0.003845
7     2335.859134     13.446253        12.571081        1.825596                8           20             SGD       {'batch_size': 8, 'epochs': 20, 'optimizer': 'SGD'}             0.9670             0.9660             0.9495             0.9490             0.9650           0.9593        0.008232               27            0.988625            0.988375            0.973875            0.966875            0.988500          0.981250         0.009151
35    2456.342850     12.025551        18.833892        2.742258               32           40             SGD      {'batch_size': 32, 'epochs': 40, 'optimizer': 'SGD'}             0.9560             0.9520             0.9530             0.9430             0.9580           0.9524        0.005161               28            0.973750            0.975000            0.970875            0.958250            0.974750          0.970525         0.006310
19    1380.248101     15.830541        14.177020        2.199440               16           20             SGD      {'batch_size': 16, 'epochs': 20, 'optimizer': 'SGD'}             0.9495             0.9665             0.9430             0.9315             0.9575           0.9496        0.011993               29            0.966500            0.972500            0.962875            0.948375            0.971000          0.964250         0.008632
3     1179.817057      5.734409        13.243706        2.157128                8           10             SGD       {'batch_size': 8, 'epochs': 10, 'optimizer': 'SGD'}             0.9440             0.9330             0.9350             0.9330             0.9365           0.9363        0.004069               30            0.960500            0.950500            0.955375            0.947750            0.954500          0.953725         0.004366
47    1415.806858     37.735495         5.098990        2.795303               64           40             SGD      {'batch_size': 64, 'epochs': 40, 'optimizer': 'SGD'}             0.9150             0.9085             0.8930             0.9150             0.9165           0.9096        0.008749               31            0.934875            0.921000            0.913875            0.926875            0.928125          0.924950         0.007079
31    1226.825243      2.512585        17.439879        0.881543               32           20             SGD      {'batch_size': 32, 'epochs': 20, 'optimizer': 'SGD'}             0.8760             0.9070             0.9165             0.8985             0.8990           0.8994        0.013407               32            0.900125            0.913000            0.922500            0.905625            0.909250          0.910100         0.007516
15     683.282020      7.554012        13.033357        2.593455               16           10             SGD      {'batch_size': 16, 'epochs': 10, 'optimizer': 'SGD'}             0.8915             0.8980             0.8995             0.8855             0.9010           0.8951        0.005791               33            0.913625            0.907500            0.907000            0.899875            0.905625          0.906725         0.004391
43     831.036045      8.845068        19.202965        3.819015               64           20             SGD      {'batch_size': 64, 'epochs': 20, 'optimizer': 'SGD'}             0.7260             0.7810             0.7490             0.7700             0.7995           0.7651        0.025488               34            0.746125            0.778250            0.765125            0.777875            0.782875          0.770050         0.013339
27     608.686047      3.319777        18.688500        1.505158               32           10             SGD      {'batch_size': 32, 'epochs': 10, 'optimizer': 'SGD'}             0.7340             0.7765             0.7565             0.7745             0.7725           0.7628        0.016049               35            0.762500            0.771500            0.765500            0.772875            0.759625          0.766400         0.005096
39     409.502199      5.954962        17.705851        4.261538               64           10             SGD      {'batch_size': 64, 'epochs': 10, 'optimizer': 'SGD'}             0.5420             0.5670             0.5640             0.5540             0.5510           0.5556        0.009047               36            0.574750            0.553500            0.566875            0.537875            0.554000          0.557400         0.012640
2        1.304906      0.241242         0.000000        0.000000                8           10             mse       {'batch_size': 8, 'epochs': 10, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               46                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
6        1.695946      0.160897         0.000000        0.000000                8           20             mse       {'batch_size': 8, 'epochs': 20, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               42                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
10       4.018018      0.553171         0.000000        0.000000                8           40             mse       {'batch_size': 8, 'epochs': 40, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               41                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
14       4.439049      0.308966         0.000000        0.000000               16           10             mse      {'batch_size': 16, 'epochs': 10, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               44                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
18       4.551025      0.174900         0.000000        0.000000               16           20             mse      {'batch_size': 16, 'epochs': 20, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               38                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
22       3.499047      0.242994         0.000000        0.000000               16           40             mse      {'batch_size': 16, 'epochs': 40, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               47                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
26       5.792815      0.580151         0.000000        0.000000               32           10             mse      {'batch_size': 32, 'epochs': 10, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               45                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
30       6.664228      0.408526         0.000000        0.000000               32           20             mse      {'batch_size': 32, 'epochs': 20, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               40                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
34       6.093979      0.401282         0.000000        0.000000               32           40             mse      {'batch_size': 32, 'epochs': 40, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               37                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
38       7.931046      0.501348         0.000000        0.000000               64           10             mse      {'batch_size': 64, 'epochs': 10, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               39                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
42       7.501799      1.442290         0.000000        0.000000               64           20             mse      {'batch_size': 64, 'epochs': 20, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               43                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
46       8.823800      1.403366         0.000000        0.000000               64           40             mse      {'batch_size': 64, 'epochs': 40, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               48                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
